record_type|record_id|source_year|source_file|source_sheet|row_number|programme|key_output|key_indicator|annual_target|achieved_output|variance|status|comment|source_url|source_name|retrieved_at
performance_record|performance_budget_performance_by_program_0179|2024-2025|kafue_2024_2025_performance.xlsx|Budget performance by Program|182|||1 Number of farmers trained in good land husbandry and conservation practices|250||250|||https://www.kafuecouncil.gov.zm/?page_id=195|kafue 2024 2025 performance|2026-09-11
performance_record|performance_budget_performance_by_program_0180|2024-2025|kafue_2024_2025_performance.xlsx|Budget performance by Program|183||05 Agricultural news recorded and disseminated|||||||https://www.kafuecouncil.gov.zm/?page_id=195|kafue 2024 2025 performance|2026-09-11
performance_record|performance_budget_performance_by_program_0181|2024-2025|kafue_2024_2025_performance.xlsx|Budget performance by Program|184|||1 Number of agricultural news recorded and disseminated|8||8|||https://www.kafuecouncil.gov.zm/?page_id=195|kafue 2024 2025 performance|2026-09-11
performance_record|performance_budget_performance_by_program_0182|2024-2025|kafue_2024_2025_performance.xlsx|Budget performance by Program|185||01 Agricultural Enterprenurship skill Trainings Conducted|||||||https://www.kafuecouncil.gov.zm/?page_id=195|kafue 2024 2025 performance|2026-09-11
performance_record|performance_budget_performance_by_program_0183|2024-2025|kafue_2024_2025_performance.xlsx|Budget performance by Program|186|||1 Number of enterprenurship trainings conducted|12||12|||https://www.kafuecouncil.gov.zm/?page_id=195|kafue 2024 2025 performance|2026-09-11
performance_record|performance_budget_performance_by_program_0184|2024-2025|kafue_2024_2025_performance.xlsx|Budget performance by Program|187||02 Value addition of agriculture commodities and products promoted|||||||https://www.kafuecouncil.gov.zm/?page_id=195|kafue 2024 2025 performance|2026-09-11
performance_record|performance_budget_performance_by_program_0185|2024-2025|kafue_2024_2025_performance.xlsx|Budget performance by Program|188|||1 Number of marketing linkages established|2||2|||https://www.kafuecouncil.gov.zm/?page_id=195|kafue 2024 2025 performance|2026-09-11
performance_record|performance_budget_performance_by_program_0186|2024-2025|kafue_2024_2025_performance.xlsx|Budget performance by Program|189||03Market information on crop products and agricultural inputs collected|||||||https://www.kafuecouncil.gov.zm/?page_id=195|kafue 2024 2025 performance|2026-09-11
performance_record|performance_budget_performance_by_program_0187|2024-2025|kafue_2024_2025_performance.xlsx|Budget performance by Program|190|||1 Number of weekly market information reported|52||52|||https://www.kafuecouncil.gov.zm/?page_id=195|kafue 2024 2025 performance|2026-09-11
performance_record|performance_budget_performance_by_program_0188|2024-2025|kafue_2024_2025_performance.xlsx|Budget performance by Program|191||01Multi-sectoral collaboration in the agricultural programmes strenthened|||||||https://www.kafuecouncil.gov.zm/?page_id=195|kafue 2024 2025 performance|2026-09-11
performance_record|performance_budget_performance_by_program_0189|2024-2025|kafue_2024_2025_performance.xlsx|Budget performance by Program|192|||1 Number of collaborative meetings conducted|12||12|||https://www.kafuecouncil.gov.zm/?page_id=195|kafue 2024 2025 performance|2026-09-11
performance_record|performance_budget_performance_by_program_0190|2024-2025|kafue_2024_2025_performance.xlsx|Budget performance by Program|193||01Monthly marketing bulletings produced|||||||https://www.kafuecouncil.gov.zm/?page_id=195|kafue 2024 2025 performance|2026-09-11
performance_record|performance_budget_performance_by_program_0191|2024-2025|kafue_2024_2025_performance.xlsx|Budget performance by Program|194|||1 Number of Monthly bulleting produced|12||12|||https://www.kafuecouncil.gov.zm/?page_id=195|kafue 2024 2025 performance|2026-09-11
performance_record|performance_budget_performance_by_program_0192|2024-2025|kafue_2024_2025_performance.xlsx|Budget performance by Program|195||02 Entrepreneurs trained|||||||https://www.kafuecouncil.gov.zm/?page_id=195|kafue 2024 2025 performance|2026-09-11
performance_record|performance_budget_performance_by_program_0193|2024-2025|kafue_2024_2025_performance.xlsx|Budget performance by Program|196|||1 Number of Entrepreneurs Trained|400||400|||https://www.kafuecouncil.gov.zm/?page_id=195|kafue 2024 2025 performance|2026-09-11
performance_record|performance_budget_performance_by_program_0194|2024-2025|kafue_2024_2025_performance.xlsx|Budget performance by Program|197|Fisheries and Livestock||||||||https://www.kafuecouncil.gov.zm/?page_id=195|kafue 2024 2025 performance|2026-09-11
performance_record|performance_budget_performance_by_program_0195|2024-2025|kafue_2024_2025_performance.xlsx|Budget performance by Program|198||01 Animal disease alert responded to timely|||||||https://www.kafuecouncil.gov.zm/?page_id=195|kafue 2024 2025 performance|2026-09-11
performance_record|performance_budget_performance_by_program_0196|2024-2025|kafue_2024_2025_performance.xlsx|Budget performance by Program|199|||1 Proportion of animal disease alerts responded to timely|80|32|80|||https://www.kafuecouncil.gov.zm/?page_id=195|kafue 2024 2025 performance|2026-09-11
performance_record|performance_budget_performance_by_program_0197|2024-2025|kafue_2024_2025_performance.xlsx|Budget performance by Program|200||02 Animal disease surveillance activity facilitated|||||||https://www.kafuecouncil.gov.zm/?page_id=195|kafue 2024 2025 performance|2026-09-11
performance_record|performance_budget_performance_by_program_0198|2024-2025|kafue_2024_2025_performance.xlsx|Budget performance by Program|201|||1 Number of animal disease surveillance facilitated|250|150|250|||https://www.kafuecouncil.gov.zm/?page_id=195|kafue 2024 2025 performance|2026-09-11
performance_record|performance_budget_performance_by_program_0199|2024-2025|kafue_2024_2025_performance.xlsx|Budget performance by Program|202||03 Veterinary extension and advisory service provided|||||||https://www.kafuecouncil.gov.zm/?page_id=195|kafue 2024 2025 performance|2026-09-11
performance_record|performance_budget_performance_by_program_0200|2024-2025|kafue_2024_2025_performance.xlsx|Budget performance by Program|203|||1 Number of farmers trained in disease control|400|700|400|||https://www.kafuecouncil.gov.zm/?page_id=195|kafue 2024 2025 performance|2026-09-11
performance_record|performance_budget_performance_by_program_0201|2024-2025|kafue_2024_2025_performance.xlsx|Budget performance by Program|204||01 Patrols and surveillance conducted|||||||https://www.kafuecouncil.gov.zm/?page_id=195|kafue 2024 2025 performance|2026-09-11
performance_record|performance_budget_performance_by_program_0202|2024-2025|kafue_2024_2025_performance.xlsx|Budget performance by Program|205|||1 Number of water patrols conducted|8|4|-10|||https://www.kafuecouncil.gov.zm/?page_id=195|kafue 2024 2025 performance|2026-09-11
